SEASON_ID,Player_ID,Game_ID,GAME_DATE,DAYS,MATCHUP,OPP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,WIN
22003,937,0020300691,2004-02-02,0,CHI @ SEA,SEA,8,1,3,0.333,0,0,0.0,0,0,0.0,1,0,1,3,0,0,0,0,2,-7.0,0,0
22003,937,0020300678,2004-01-31,2,CHI @ POR,POR,35,6,13,0.462,2,4,0.5,3,3,1.0,5,2,7,4,1,1,2,0,17,-9.0,0,0
22003,937,0020300668,2004-01-30,1,CHI @ GSW,GSW,7,0,1,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,-7.0,0,0
22003,937,0020300653,2004-01-28,2,CHI @ DEN,DEN,10,1,2,0.5,0,1,0.0,0,2,0.0,0,0,0,2,0,0,0,2,2,-7.0,0,0
22003,937,0020300644,2004-01-27,1,CHI @ LAC,LAC,8,0,2,0.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,2,0,-3.0,0,0
22003,937,0020300616,2004-01-23,4,CHI vs. DAL,DAL,8,2,6,0.333,0,3,0.0,0,0,0.0,0,2,2,0,0,1,1,2,4,-9.0,0,0
22003,937,0020300597,2004-01-21,2,CHI @ ATL,ATL,16,2,4,0.5,0,0,0.0,2,4,0.5,1,1,2,1,0,0,0,1,6,2.0,0,0
22003,937,0020300580,2004-01-19,2,CHI @ WAS,WAS,10,1,3,0.333,0,1,0.0,0,0,0.0,0,0,0,0,0,1,1,0,2,-7.0,0,0
22003,937,0020300571,2004-01-17,2,CHI vs. NYK,NYK,15,2,9,0.222,1,4,0.25,3,4,0.75,2,4,6,0,1,0,2,2,8,-12.0,0,0
22003,937,0020300553,2004-01-15,2,CHI @ MEM,MEM,16,4,8,0.5,2,4,0.5,0,0,0.0,2,3,5,1,2,1,4,3,10,-8.0,0,0
22003,937,0020300537,2004-01-13,2,CHI vs. DET,DET,12,0,4,0.0,0,1,0.0,0,0,0.0,1,0,1,3,1,0,0,2,0,-14.0,0,0
22003,937,0020300237,2003-12-01,43,CHI vs. MIL,MIL,11,2,3,0.667,0,1,0.0,0,0,0.0,0,4,4,2,0,0,1,3,4,0.0,0,1
22003,937,0020300195,2003-11-25,6,CHI @ DAL,DAL,18,3,8,0.375,1,4,0.25,0,0,0.0,2,1,3,5,1,0,0,0,7,-12.0,0,0
22003,937,0020300185,2003-11-23,2,CHI @ SAC,SAC,20,4,9,0.444,0,1,0.0,0,0,0.0,2,1,3,1,0,0,0,1,8,-20.0,0,0
22003,937,0020300172,2003-11-21,2,CHI @ LAL,LAL,31,3,10,0.3,0,0,0.0,1,2,0.5,0,1,1,5,1,1,1,2,7,-7.0,0,0
22003,937,0020300150,2003-11-18,3,CHI @ PHX,PHX,16,2,3,0.667,0,1,0.0,0,0,0.0,0,3,3,2,1,0,3,1,4,-4.0,0,0
22003,937,0020300132,2003-11-15,3,CHI vs. SEA,SEA,23,2,6,0.333,0,2,0.0,0,0,0.0,0,3,3,2,1,1,2,1,4,-15.0,0,0
22003,937,0020300113,2003-11-13,2,CHI vs. MIN,MIN,34,4,10,0.4,2,5,0.4,2,2,1.0,0,7,7,8,4,0,2,4,12,-2.0,0,0
22003,937,0020300103,2003-11-12,1,CHI @ BOS,BOS,22,3,6,0.5,2,3,0.667,4,7,0.571,1,4,5,1,2,0,1,4,12,3.0,0,1
22003,937,0020300092,2003-11-10,2,CHI vs. DEN,DEN,20,4,6,0.667,0,2,0.0,0,0,0.0,0,2,2,2,0,0,4,2,8,-11.0,0,0
22003,937,0020300032,2003-11-01,9,CHI @ MIL,MIL,13,0,6,0.0,0,3,0.0,0,0,0.0,0,0,0,2,2,1,2,0,0,-14.0,0,0
22003,937,0020300024,2003-10-31,1,CHI vs. ATL,ATL,27,4,11,0.364,2,5,0.4,2,2,1.0,0,3,3,3,2,0,0,4,12,0.0,0,1
22003,937,0020300010,2003-10-29,2,CHI vs. WAS,WAS,31,3,7,0.429,1,3,0.333,0,1,0.0,2,5,7,2,1,2,3,2,7,-19.0,0,0
22002,937,0020201188,2003-04-16,196,POR @ LAC,LAC,27,1,9,0.111,0,1,0.0,1,1,1.0,1,3,4,5,1,0,0,3,3,-15.0,0,0
22002,937,0020201175,2003-04-15,1,POR vs. PHX,PHX,17,2,6,0.333,0,1,0.0,3,3,1.0,0,3,3,2,2,0,1,3,7,-4.0,0,1
22002,937,0020200919,2003-03-11,35,POR @ SEA,SEA,37,5,11,0.455,0,1,0.0,0,0,0.0,2,11,13,6,1,0,2,4,10,20.0,0,1
22002,937,0020200899,2003-03-08,3,POR vs. IND,IND,34,1,4,0.25,0,0,0.0,0,0,0.0,1,1,2,7,2,1,5,4,2,14.0,0,1
22002,937,0020200883,2003-03-06,2,POR vs. PHI,PHI,24,2,4,0.5,0,1,0.0,0,0,0.0,0,3,3,1,1,0,4,0,4,1.0,0,0
22002,937,0020200878,2003-03-05,1,POR @ PHX,PHX,27,0,7,0.0,0,2,0.0,1,2,0.5,1,1,2,1,0,0,2,3,1,-8.0,0,0
22002,937,0020200858,2003-03-02,3,POR vs. DET,DET,27,4,8,0.5,0,0,0.0,1,2,0.5,0,3,3,6,2,2,3,1,9,16.0,0,1
22002,937,0020200843,2003-02-28,2,POR vs. LAC,LAC,35,8,14,0.571,0,2,0.0,8,9,0.889,1,7,8,8,1,2,3,3,24,16.0,0,1
